,Instrument,Name,RIC_XMUN,Ticker_XMUN,RIC_main,Ticker_main,Exchange_main,Cap,Sector
1411,US8722801029,Carlyle Secured Lending Inc,6JR.GTX,6JR,CGBD.OQ,CGBD,NASDAQ/NGS (GLOBAL SELECT MARKET),0.6792908322,Financials
1412,US1010441053,Boston Omaha Corp,42SG.GTX,42S,BOC.N,BOC,"NEW YORK STOCK EXCHANGE, INC.",0.68425023744,Consumer Cyclicals
1413,US75382E1091,Rapt Therapeutics Inc,0RA.GTX,0RA,RAPT.OQ,RAPT,NASDAQ/NMS (GLOBAL MARKET),0.68477126344,Healthcare
1414,US04013V1089,Ares Commercial Real Estate Corp,41I.GTX,41I,ACRE.N,ACRE,"NEW YORK STOCK EXCHANGE, INC.",0.66360364497,Real Estate
1415,US8873991033,TimkenSteel Corp,ZS2.GTX,ZS2,TMST.N,TMST,"NEW YORK STOCK EXCHANGE, INC.",0.68505232146,Basic Materials
1416,US3765361080,Gladstone Commercial Corp,GOOD.GTX,GLE,GOOD.OQ,GOOD,NASDAQ/NGS (GLOBAL SELECT MARKET),0.72988674,Real Estate
1417,US5949603048,MicroVision Inc,MVIN.GTX,MVIN,MVIS.OQ,MVIS,NASDAQ/NMS (GLOBAL MARKET),0.62735321587,Technology
1418,US3765491010,Gladstone Land Corp,3L4.GTX,3L4,LAND.OQ,LAND,NASDAQ/NMS (GLOBAL MARKET),0.70096316637,Real Estate
1419,US63009R1095,NanoString Technologies Inc,0F1.GTX,0F1,NSTG.OQ,NSTG,NASDAQ/NMS (GLOBAL MARKET),0.61000267072,Healthcare
1420,US46571Y1073,I3 Verticals Inc,V1K.GTX,V1K,IIIV.OQ,IIIV,NASDAQ/NGS (GLOBAL SELECT MARKET),0.65442160659,Industrials
1421,US29975E1091,Eventbrite Inc,EB4.GTX,EB4,EB.N,EB,"NEW YORK STOCK EXCHANGE, INC.",0.64694498806,Technology
1422,US53261M1045,Edgio Inc,LNK.GTX,LNK,EGIO.OQ,EGIO,NASDAQ/NGS (GLOBAL SELECT MARKET),0.62837999224,Technology
